,data.1,engorgement,stage,host,species,depth,host.temp
16137,1.33,0.266,adult female,Deer,Gulf Coast,62.5,101.1666667
16138,1.23,0.246,adult female,Cat,Rocky Mountain Wood,62.1,101.1222222
16139,1.01,0.202,larvae,Squirrel,Groundhog,64.5,101.3888889
16140,1.2,0.24,adult female,Fox,Rocky Mountain Wood,62,101.1111111
16141,1,0.2,adult male,Bird,Groundhog,60.6,100.9555556
16142,1.3,0.26,adult female,Cat,Rocky Mountain Wood,62.3,101.1444444
16143,1.28,0.256,adult male,Cat,Groundhog,62.5,101.1666667
16144,1.2,0.24,adult male,Fox,Rocky Mountain Wood,61.3,101.0333333
16145,1.28,0.256,adult female,Fox,Western Blacklegged,62.8,101.2
16146,1,0.2,adult male,Bird,Groundhog,60,100.8888889
16147,1.2,0.24,adult male,Bird,Rocky Mountain Wood,62.7,101.1888889
16148,1.09,0.218,nymph,Bird,Gulf Coast,59.7,100.8555556
16149,1.09,0.218,adult female,Fox,Groundhog,62.9,101.2111111
16150,1.31,0.262,larvae,Cat,Gulf Coast,64.3,101.3666667
16151,1.45,0.29,eggs,Racoon,Western Blacklegged,64.4,101.3777778
16152,1.22,0.244,adult female,Racoon,Rocky Mountain Wood,62.8,101.2
16153,1.23,0.246,nymph,Fox,Rocky Mountain Wood,61,101
16154,1.04,0.208,adult female,Fox,Rocky Mountain Wood,61.6,101.0666667
16155,1.04,0.208,adult male,Racoon,Groundhog,60.1,100.9
16156,1.04,0.208,adult female,Bird,Groundhog,62,101.1111111
16157,1.28,0.256,adult female,Racoon,Western Blacklegged,62.3,101.1444444
16158,1.36,0.272,adult male,Racoon,Western Blacklegged,61.4,101.0444444
16159,1.55,0.31,adult male,Fox,Western Blacklegged,58,100.6666667
16160,1.5,0.3,adult male,Fox,Western Blacklegged,62.1,101.1222222
16161,1.12,0.224,adult female,Dog,Rocky Mountain Wood,61.6,101.0666667
16162,1.23,0.246,nymph,Fox,Groundhog,61.6,101.0666667
16163,1.23,0.246,nymph,Fox,Groundhog,60.6,100.9555556
16164,1.22,0.244,adult female,Cat,Gulf Coast,62.3,101.1444444
16165,1.07,0.214,adult female,Racoon,Groundhog,62,101.1111111
16166,1.03,0.206,adult female,Squirrel,Rocky Mountain Wood,59.9,100.8777778
16167,1.03,0.206,adult male,Dog,Groundhog,60,100.8888889
16168,1.02,0.204,larvae,Dog,Groundhog,63.2,101.2444444
16169,1,0.2,adult male,Bird,Gulf Coast,61.2,101.0222222
16170,1.34,0.268,nymph,Bird,Western Blacklegged,62.2,101.1333333
16171,1.34,0.268,adult male,Bird,Western Blacklegged,61.7,101.0777778
16172,1.14,0.228,nymph,Squirrel,Rocky Mountain Wood,62.7,101.1888889
16173,1,0.2,larvae,Bird,Gulf Coast,63.6,101.2888889
16174,1,0.2,adult female,Bird,Gulf Coast,62.2,101.1333333
16175,1,0.2,adult female,Bird,Gulf Coast,62.7,101.1888889
16176,0.9,0.18,nymph,Dog,Brown Dog,62,101.1111111
16177,1.03,0.206,adult female,Racoon,Groundhog,60.4,100.9333333
16178,1,0.2,nymph,Racoon,Gulf Coast,62.9,101.2111111
16179,1,0.2,nymph,Racoon,Gulf Coast,62.6,101.1777778
16180,1.2,0.24,larvae,Fox,Groundhog,62.6,101.1777778
16181,1,0.2,adult male,Racoon,Groundhog,58.6,100.7333333
16182,1,0.2,adult male,Racoon,Groundhog,62.4,101.1555556
16183,1.25,0.25,adult female,Dog,Rocky Mountain Wood,61.1,101.0111111
16184,1.1,0.22,adult male,Squirrel,Rocky Mountain Wood,60.7,100.9666667
16185,1,0.2,adult male,Racoon,Groundhog,62.6,101.1777778
16186,1.22,0.244,adult female,Cat,Gulf Coast,62.3,101.1444444
16187,1.22,0.244,adult female,Cat,Gulf Coast,61.9,101.1
16188,1.01,0.202,adult male,Bird,Brown Dog,61.3,101.0333333
16189,1.31,0.262,adult female,Racoon,Rocky Mountain Wood,62.4,101.1555556
16190,1.1,0.22,adult female,Fox,Gulf Coast,61.4,101.0444444
16191,1.01,0.202,adult male,Bird,Brown Dog,61.9,101.1
16192,1.07,0.214,adult female,Bird,Groundhog,63,101.2222222
16193,1.07,0.214,adult male,Bird,Groundhog,60.9,100.9888889
16194,1.07,0.214,adult female,Bird,Groundhog,62.2,101.1333333
16195,1.07,0.214,adult male,Bird,Groundhog,60.5,100.9444444
16196,1.07,0.214,adult male,Bird,Groundhog,62.1,101.1222222
16197,1.2,0.24,adult female,Fox,Rocky Mountain Wood,62.2,101.1333333
16198,1.27,0.254,adult female,Fox,Rocky Mountain Wood,61.5,101.0555556
16199,1.29,0.258,adult female,Dog,Western Blacklegged,62.8,101.2
16200,1.7,0.34,larvae,Cat,Lone Star,63.6,101.2888889
16201,1.26,0.252,adult female,Fox,Rocky Mountain Wood,61.7,101.0777778
16202,1.06,0.212,larvae,Bird,Gulf Coast,63.4,101.2666667
16203,1.53,0.306,adult female,Fox,Lone Star,62.3,101.1444444
16204,1.26,0.252,adult female,Dog,Western Blacklegged,61,101
16205,1.21,0.242,adult female,Bird,Groundhog,61.7,101.0777778
16206,1.02,0.204,nymph,Racoon,Groundhog,59.4,100.8222222
16207,1.02,0.204,adult female,Racoon,Groundhog,62.7,101.1888889
16208,1.02,0.204,nymph,Racoon,Groundhog,61.7,101.0777778
16209,1.02,0.204,adult male,Racoon,Groundhog,61.3,101.0333333
16210,1.02,0.204,larvae,Racoon,Groundhog,63.3,101.2555556
16211,1.02,0.204,adult female,Racoon,Groundhog,62.7,101.1888889
16212,1.07,0.214,adult female,Fox,Gulf Coast,60.2,100.9111111
16213,1.03,0.206,adult male,Bird,Gulf Coast,62.1,101.1222222
16214,1.01,0.202,nymph,Dog,Groundhog,63.1,101.2333333
16215,1.09,0.218,adult female,Bird,Groundhog,62.3,101.1444444
16216,1.33,0.266,adult female,Fox,Western Blacklegged,62.7,101.1888889
16217,1.33,0.266,adult male,Bird,Western Blacklegged,63,101.2222222
16218,1.33,0.266,nymph,Fox,Western Blacklegged,62.5,101.1666667
16219,1.06,0.212,nymph,Bird,Groundhog,61.7,101.0777778
16220,1.31,0.262,adult female,Fox,Western Blacklegged,62.2,101.1333333
16221,1.03,0.206,adult male,Racoon,Groundhog,62,101.1111111
16222,1.2,0.24,adult female,Fox,Rocky Mountain Wood,60.8,100.9777778
16223,1.05,0.21,adult female,Bird,Groundhog,60.8,100.9777778
16224,1.05,0.21,adult female,Bird,Groundhog,61.9,101.1
16225,1.05,0.21,nymph,Bird,Groundhog,62.8,101.2
16226,1.03,0.206,nymph,Bird,Gulf Coast,60.6,100.9555556
16227,1.2,0.24,adult female,Fox,Groundhog,59.9,100.8777778
16228,1.01,0.202,adult male,Dog,Groundhog,62.4,101.1555556
16229,1.01,0.202,nymph,Dog,Groundhog,62.9,101.2111111
16230,0.94,0.188,adult female,Bird,American Dog,62.4,101.1555556
16231,1.24,0.248,adult female,Fox,Rocky Mountain Wood,60.9,100.9888889
16232,1.22,0.244,adult male,Bird,Rocky Mountain Wood,60.7,100.9666667
16233,1.15,0.23,adult female,Bird,Groundhog,61.4,101.0444444
16234,1.15,0.23,adult male,Bird,Groundhog,61.5,101.0555556
16235,1.2,0.24,adult male,Bird,Rocky Mountain Wood,63,101.2222222
16236,1.38,0.276,nymph,Deer,Groundhog,62.7,101.1888889
16237,1.51,0.302,adult male,Dog,Lone Star,59,100.7777778
16238,1.18,0.236,adult female,Cat,American Dog,59.7,100.8555556
16239,1.37,0.274,adult male,Bird,Western Blacklegged,59.6,100.8444444
16240,1.1,0.22,nymph,Fox,Brown Dog,59.7,100.8555556
16241,1.01,0.202,nymph,Bird,Gulf Coast,62.8,101.2
16242,1.01,0.202,adult male,Bird,Gulf Coast,62.6,101.1777778
16243,1.01,0.202,adult male,Bird,Gulf Coast,62.6,101.1777778
16244,1.01,0.202,larvae,Bird,Gulf Coast,63.2,101.2444444
16245,1.01,0.202,adult male,Bird,Gulf Coast,62.7,101.1888889
16246,1.01,0.202,larvae,Bird,Gulf Coast,63.7,101.3
16247,1.01,0.202,adult male,Bird,Gulf Coast,60.8,100.9777778
16248,1.01,0.202,adult male,Bird,Gulf Coast,62.3,101.1444444
16249,1.01,0.202,adult female,Bird,Gulf Coast,61.8,101.0888889
16250,1.02,0.204,adult female,Bird,Groundhog,61.4,101.0444444
16251,1.2,0.24,adult male,Fox,Groundhog,62.8,101.2
16252,1.14,0.228,nymph,Bird,Groundhog,61.3,101.0333333
16253,1.01,0.202,adult female,Racoon,Groundhog,62.6,101.1777778
16254,1.01,0.202,nymph,Dog,Rocky Mountain Wood,63.4,101.2666667
16255,1.2,0.24,adult female,Bird,Rocky Mountain Wood,61.2,101.0222222
16256,1.35,0.27,adult female,Fox,Groundhog,61.6,101.0666667
16257,2.07,0.414,eggs,Bird,Lone Star,67.7,101.7444444
16258,1.24,0.248,adult female,Racoon,Western Blacklegged,61.4,101.0444444
16259,1.12,0.224,adult male,Bird,Groundhog,61.7,101.0777778
16260,1.01,0.202,adult female,Bird,Gulf Coast,62,101.1111111
16261,1.08,0.216,larvae,Fox,American Dog,63.1,101.2333333
16262,1.09,0.218,adult male,Bird,Groundhog,60.9,100.9888889
16263,1.22,0.244,adult male,Cat,Gulf Coast,59.4,100.8222222
16264,1.01,0.202,adult female,Bird,Groundhog,61.8,101.0888889
16265,1.09,0.218,adult male,Bird,Groundhog,61.7,101.0777778
16266,1.02,0.204,adult male,Bird,Gulf Coast,60.8,100.9777778
16267,1.21,0.242,adult male,Fox,Rocky Mountain Wood,61.6,101.0666667
16268,1.32,0.264,adult male,Fox,Groundhog,61.5,101.0555556
16269,1.21,0.242,adult male,Squirrel,Western Blacklegged,62.5,101.1666667
16270,1.21,0.242,adult male,Squirrel,Western Blacklegged,62.5,101.1666667
16271,1.29,0.258,adult female,Racoon,Western Blacklegged,61.7,101.0777778
16272,1.01,0.202,larvae,Bird,Gulf Coast,64,101.3333333
16273,1.01,0.202,larvae,Dog,Gulf Coast,64.6,101.4
16274,1.29,0.258,adult female,Cat,Groundhog,62.7,101.1888889
16275,1.02,0.204,adult female,Racoon,Groundhog,62.9,101.2111111
16276,1.23,0.246,adult female,Bird,Rocky Mountain Wood,61.4,101.0444444
16277,1.51,0.302,adult male,Fox,Western Blacklegged,62.9,101.2111111
16278,1.51,0.302,adult female,Cat,Groundhog,60.7,100.9666667
16279,1.51,0.302,larvae,Deer,Rocky Mountain Wood,64.1,101.3444444
16280,1.2,0.24,adult female,Fox,Rocky Mountain Wood,62.7,101.1888889
16281,1.01,0.202,adult female,Bird,Groundhog,60.1,100.9
16282,1.11,0.222,adult female,Racoon,Rocky Mountain Wood,61.1,101.0111111
16283,1.53,0.306,adult male,Fox,Western Blacklegged,61.5,101.0555556
16284,3,0.6,nymph,Fox,Lone Star,63.1,101.2333333
16285,1.33,0.266,nymph,Cat,Rocky Mountain Wood,62.6,101.1777778
16286,0.92,0.184,adult female,Squirrel,Groundhog,61.4,101.0444444
16287,1.01,0.202,nymph,Dog,Groundhog,63.3,101.2555556
16288,1.01,0.202,nymph,Dog,Groundhog,63.3,101.2555556
16289,1.01,0.202,adult male,Dog,Groundhog,58.1,100.6777778
16290,1.01,0.202,adult female,Bird,Groundhog,61.5,101.0555556
16291,1.01,0.202,nymph,Dog,Groundhog,61.1,101.0111111
16292,1.01,0.202,larvae,Dog,Groundhog,58.9,100.7666667
16293,1.15,0.23,adult female,Dog,Rocky Mountain Wood,60.2,100.9111111
16294,1,0.2,nymph,Dog,Groundhog,62.6,101.1777778
16295,1.2,0.24,adult female,Fox,Rocky Mountain Wood,62.1,101.1222222
16296,1.22,0.244,adult female,Racoon,Western Blacklegged,62.5,101.1666667
16297,1.32,0.264,adult male,Fox,Brown Dog,61.3,101.0333333
16298,1,0.2,adult male,Racoon,Groundhog,61.9,101.1
16299,2,0.4,larvae,Deer,Lone Star,63.6,101.2888889
16300,1.01,0.202,nymph,Dog,Groundhog,62.2,101.1333333
16301,1.01,0.202,nymph,Dog,Groundhog,60.4,100.9333333
16302,1.01,0.202,nymph,Dog,Groundhog,63.3,101.2555556
16303,1.01,0.202,larvae,Dog,Groundhog,58,100.6666667
16304,1.5,0.3,larvae,Deer,Rocky Mountain Wood,64.5,101.3888889
16305,1.07,0.214,nymph,Bird,Groundhog,62.9,101.2111111
16306,1.13,0.226,adult female,Bird,Groundhog,62.7,101.1888889
16307,1.19,0.238,nymph,Racoon,Rocky Mountain Wood,60.8,100.9777778
16308,1.2,0.24,nymph,Bird,Rocky Mountain Wood,62.8,101.2
16309,1.2,0.24,nymph,Bird,Rocky Mountain Wood,62.8,101.2
16310,1.11,0.222,adult male,Fox,Groundhog,61.1,101.0111111
16311,1.04,0.208,adult female,Bird,Groundhog,60.8,100.9777778
16312,1.01,0.202,adult male,Bird,Gulf Coast,59.8,100.8666667
16313,1.01,0.202,nymph,Bird,Gulf Coast,63.2,101.2444444
16314,1.01,0.202,nymph,Bird,Gulf Coast,63.5,101.2777778
16315,1.01,0.202,larvae,Bird,Gulf Coast,63.7,101.3
16316,1.31,0.262,adult male,Fox,Western Blacklegged,60.8,100.9777778
16317,1.08,0.216,adult female,Bird,Groundhog,62.5,101.1666667
16318,1.15,0.23,eggs,Bird,Gulf Coast,64.6,101.4
16319,1.22,0.244,nymph,Racoon,Rocky Mountain Wood,63.1,101.2333333
16320,1.22,0.244,nymph,Bird,Western Blacklegged,59.2,100.8
16321,1.09,0.218,adult female,Squirrel,Rocky Mountain Wood,61.3,101.0333333
16322,1.08,0.216,adult male,Bird,Groundhog,62.3,101.1444444
16323,1.08,0.216,adult male,Bird,Groundhog,60.1,100.9
16324,1.08,0.216,adult female,Bird,Groundhog,62.4,101.1555556
16325,1.08,0.216,adult male,Bird,Gulf Coast,61.5,101.0555556
16326,1.27,0.254,adult male,Cat,Gulf Coast,62.2,101.1333333
16327,1.08,0.216,adult male,Bird,Groundhog,59.4,100.8222222
16328,2,0.4,eggs,Racoon,Lone Star,66.1,101.5666667
16329,1.08,0.216,adult male,Bird,Groundhog,62.4,101.1555556
16330,1.01,0.202,nymph,Racoon,Groundhog,63.3,101.2555556
16331,1.01,0.202,adult male,Racoon,Groundhog,61.7,101.0777778
16332,1.01,0.202,adult male,Racoon,Groundhog,62.2,101.1333333
16333,1.01,0.202,adult male,Racoon,Groundhog,59.3,100.8111111
16334,1.01,0.202,adult male,Racoon,Groundhog,59.2,100.8
16335,1.01,0.202,adult female,Racoon,Groundhog,62,101.1111111
16336,1.01,0.202,adult male,Racoon,Groundhog,62.8,101.2
16337,1.01,0.202,nymph,Racoon,Groundhog,63.1,101.2333333
16338,1.1,0.22,adult female,Bird,Groundhog,62,101.1111111
16339,1.1,0.22,adult male,Bird,Groundhog,60.2,100.9111111
16340,1.2,0.24,nymph,Dog,Rocky Mountain Wood,61.8,101.0888889
16341,1.11,0.222,adult male,Bird,Groundhog,61.4,101.0444444
16342,2.21,0.442,adult male,Fox,Lone Star,62.2,101.1333333
16343,1,0.2,adult female,Fox,American Dog,61.5,101.0555556
16344,1.1,0.22,adult female,Bird,Gulf Coast,61.3,101.0333333
16345,1.29,0.258,nymph,Cat,Groundhog,61.8,101.0888889
16346,1.03,0.206,nymph,Bird,Gulf Coast,62.2,101.1333333
16347,1.03,0.206,nymph,Bird,Gulf Coast,63,101.2222222
16348,1.08,0.216,adult female,Squirrel,Rocky Mountain Wood,62.7,101.1888889
16349,1.08,0.216,adult female,Squirrel,Rocky Mountain Wood,60.3,100.9222222
16350,1.01,0.202,nymph,Racoon,Groundhog,63.2,101.2444444
16351,0.3,0.06,adult male,Fox,Groundhog,62.9,101.2111111
16352,0.3,0.06,nymph,Fox,Groundhog,63.5,101.2777778
16353,0.3,0.06,adult male,Fox,Groundhog,63,101.2222222
16354,0.3,0.06,adult male,Fox,Groundhog,62.7,101.1888889
16355,0.3,0.06,adult male,Fox,Groundhog,62.7,101.1888889
16356,0.3,0.06,adult male,Fox,Groundhog,62.6,101.1777778
16357,0.3,0.06,adult male,Fox,Groundhog,62.5,101.1666667
16358,0.3,0.06,nymph,Fox,Groundhog,63.5,101.2777778
16359,0.3,0.06,larvae,Squirrel,Groundhog,64.1,101.3444444
16360,0.3,0.06,adult male,Fox,Groundhog,61.1,101.0111111
16361,0.32,0.064,adult female,Dog,Groundhog,61.4,101.0444444
16362,0.33,0.066,adult male,Squirrel,Rocky Mountain Wood,60.1,100.9
16363,0.33,0.066,adult female,Squirrel,Rocky Mountain Wood,62.5,101.1666667
16364,0.33,0.066,adult male,Squirrel,Rocky Mountain Wood,60.3,100.9222222
16365,0.33,0.066,nymph,Cat,American Dog,61.7,101.0777778
16366,0.33,0.066,adult female,Squirrel,Rocky Mountain Wood,62.4,101.1555556
16367,0.33,0.066,nymph,Squirrel,Rocky Mountain Wood,60,100.8888889
16368,0.33,0.066,adult male,Cat,American Dog,61.9,101.1
16369,0.33,0.066,nymph,Squirrel,Rocky Mountain Wood,61.5,101.0555556
16370,0.33,0.066,adult female,Squirrel,Rocky Mountain Wood,62.7,101.1888889
16371,0.33,0.066,adult male,Squirrel,Rocky Mountain Wood,60.4,100.9333333
16372,0.33,0.066,adult female,Squirrel,Rocky Mountain Wood,61.3,101.0333333
16373,0.33,0.066,nymph,Squirrel,Rocky Mountain Wood,62.8,101.2
16374,0.33,0.066,nymph,Cat,American Dog,62.5,101.1666667
16375,0.33,0.066,nymph,Squirrel,Rocky Mountain Wood,62.8,101.2
16376,0.28,0.056,adult female,Squirrel,American Dog,61.7,101.0777778
16377,0.28,0.056,nymph,Dog,Brown Dog,58.7,100.7444444
16378,0.33,0.066,nymph,Cat,American Dog,58.9,100.7666667
16379,0.29,0.058,nymph,Racoon,American Dog,59.8,100.8666667
16380,0.29,0.058,nymph,Dog,American Dog,59.5,100.8333333
16381,1.18,0.236,adult female,Cat,Gulf Coast,62.6,101.1777778
16382,1.32,0.264,adult male,Racoon,Western Blacklegged,60.6,100.9555556
16383,1.04,0.208,nymph,Bird,Gulf Coast,63.2,101.2444444
16384,1.22,0.244,adult female,Fox,Rocky Mountain Wood,62.2,101.1333333
16385,1.04,0.208,adult female,Bird,Groundhog,62.8,101.2
16386,1.23,0.246,nymph,Fox,Rocky Mountain Wood,62.3,101.1444444
16387,1.32,0.264,adult male,Bird,Rocky Mountain Wood,62.1,101.1222222
16388,1.18,0.236,adult male,Racoon,Rocky Mountain Wood,62.3,101.1444444
16389,1.03,0.206,larvae,Racoon,Groundhog,63.9,101.3222222
16390,1.03,0.206,adult female,Racoon,Groundhog,59.1,100.7888889
16391,1.27,0.254,adult female,Dog,Groundhog,61.8,101.0888889
16392,1.27,0.254,adult female,Racoon,Groundhog,62.8,101.2
16393,1.39,0.278,adult female,Cat,Western Blacklegged,61.6,101.0666667
16394,1.52,0.304,adult male,Fox,Western Blacklegged,60.7,100.9666667
16395,1.05,0.21,nymph,Racoon,Groundhog,62,101.1111111
16396,1.25,0.25,adult male,Cat,Gulf Coast,60.4,100.9333333
16397,1.23,0.246,larvae,Bird,Rocky Mountain Wood,63.1,101.2333333
16398,1.09,0.218,nymph,Bird,Gulf Coast,62.5,101.1666667
16399,1.51,0.302,nymph,Deer,Western Blacklegged,61.9,101.1
16400,1.26,0.252,nymph,Fox,Rocky Mountain Wood,60.6,100.9555556
16401,1.43,0.286,adult female,Deer,Rocky Mountain Wood,62.1,101.1222222
16402,1.2,0.24,adult male,Fox,Groundhog,60.6,100.9555556
16403,1.06,0.212,adult female,Bird,Groundhog,61.1,101.0111111
16404,1.28,0.256,adult female,Bird,Western Blacklegged,61.1,101.0111111
16405,0.63,0.126,adult female,Squirrel,Blacklegged,62.5,101.1666667
16406,1.21,0.242,nymph,Bird,Rocky Mountain Wood,61.2,101.0222222
16407,1.3,0.26,adult female,Fox,Western Blacklegged,61.1,101.0111111
16408,1.01,0.202,nymph,Dog,Groundhog,62.9,101.2111111
16409,1.5,0.3,eggs,Bird,Western Blacklegged,68.5,101.8333333
16410,1,0.2,larvae,Racoon,Gulf Coast,57.8,100.6444444
16411,1,0.2,adult male,Bird,Gulf Coast,59.1,100.7888889
16412,1.5,0.3,larvae,Bird,Western Blacklegged,63.6,101.2888889
16413,1,0.2,nymph,Bird,Gulf Coast,63.2,101.2444444
16414,1.52,0.304,adult male,Racoon,Western Blacklegged,60.7,100.9666667
16415,1.15,0.23,adult male,Bird,Groundhog,62.6,101.1777778
16416,1.23,0.246,adult female,Squirrel,Rocky Mountain Wood,60.9,100.9888889
16417,1.03,0.206,adult female,Bird,Groundhog,61.8,101.0888889
16418,1.2,0.24,nymph,Cat,Brown Dog,59.9,100.8777778
16419,1.17,0.234,adult female,Fox,Groundhog,62.4,101.1555556
16420,1.03,0.206,adult female,Bird,Gulf Coast,62.1,101.1222222
16421,1.07,0.214,adult female,Bird,Groundhog,62.3,101.1444444
16422,1.27,0.254,nymph,Cat,Rocky Mountain Wood,60.7,100.9666667
16423,1.21,0.242,larvae,Bird,Brown Dog,63.8,101.3111111
16424,1.22,0.244,adult female,Bird,Rocky Mountain Wood,61.6,101.0666667
16425,1.3,0.26,adult female,Racoon,Western Blacklegged,62.2,101.1333333
16426,1.03,0.206,adult female,Fox,Brown Dog,62.4,101.1555556
16427,1.08,0.216,adult female,Bird,Groundhog,62.5,101.1666667
16428,1.07,0.214,adult female,Dog,Rocky Mountain Wood,61.4,101.0444444
16429,1.13,0.226,adult male,Bird,Groundhog,60.1,100.9
16430,1.05,0.21,adult female,Bird,Groundhog,61.9,101.1
16431,1.08,0.216,adult female,Fox,Gulf Coast,62,101.1111111
16432,1.24,0.248,adult male,Bird,Rocky Mountain Wood,60.5,100.9444444
16433,1.01,0.202,nymph,Squirrel,Groundhog,59.8,100.8666667
16434,1.13,0.226,adult female,Dog,Rocky Mountain Wood,62.2,101.1333333
16435,1.02,0.204,adult female,Bird,Gulf Coast,62.2,101.1333333
16436,1.11,0.222,nymph,Dog,Rocky Mountain Wood,62.4,101.1555556
16437,1.01,0.202,larvae,Squirrel,Groundhog,62.5,101.1666667
16438,1.04,0.208,adult male,Bird,Groundhog,61,101
16439,1.23,0.246,nymph,Cat,Gulf Coast,63.1,101.2333333
16440,2.22,0.444,eggs,Fox,Lone Star,70.1,102.0111111
16441,1.33,0.266,adult male,Bird,Western Blacklegged,60.3,100.9222222
16442,1.06,0.212,adult female,Squirrel,Rocky Mountain Wood,61.5,101.0555556
16443,1.21,0.242,nymph,Fox,Rocky Mountain Wood,63.5,101.2777778
16444,1.26,0.252,nymph,Cat,Gulf Coast,61.8,101.0888889
16445,1.28,0.256,nymph,Racoon,Rocky Mountain Wood,63,101.2222222
16446,1.21,0.242,adult male,Fox,Rocky Mountain Wood,60.5,100.9444444
16447,1.21,0.242,adult male,Fox,Rocky Mountain Wood,62.4,101.1555556
16448,1,0.2,larvae,Squirrel,Rocky Mountain Wood,59.9,100.8777778
16449,1.02,0.204,nymph,Bird,Groundhog,61.9,101.1
16450,1.2,0.24,nymph,Fox,Rocky Mountain Wood,62.3,101.1444444
16451,1.2,0.24,adult female,Fox,Rocky Mountain Wood,61.2,101.0222222
16452,1.2,0.24,adult female,Fox,Rocky Mountain Wood,62.2,101.1333333
16453,1.09,0.218,nymph,Bird,Gulf Coast,59.7,100.8555556
16454,1.35,0.27,nymph,Cat,Rocky Mountain Wood,59.5,100.8333333
16455,1.21,0.242,adult male,Fox,Rocky Mountain Wood,59.8,100.8666667
16456,1.21,0.242,adult female,Fox,Rocky Mountain Wood,62.1,101.1222222
16457,1.31,0.262,adult female,Cat,Gulf Coast,64.3,101.3666667
16458,1.01,0.202,nymph,Dog,Groundhog,60.4,100.9333333
16459,1.23,0.246,adult male,Fox,Groundhog,60.6,100.9555556
16460,1.35,0.27,adult male,Cat,Rocky Mountain Wood,59.2,100.8
16461,1.2,0.24,adult female,Fox,Rocky Mountain Wood,61.9,101.1
16462,1.43,0.286,nymph,Deer,Groundhog,62.8,101.2
16463,1.01,0.202,adult female,Squirrel,Rocky Mountain Wood,63,101.2222222
16464,1.11,0.222,adult male,Squirrel,Groundhog,59.5,100.8333333
16465,1.28,0.256,adult male,Fox,Rocky Mountain Wood,62.7,101.1888889
16466,1.28,0.256,adult male,Fox,Rocky Mountain Wood,59.9,100.8777778
16467,1.25,0.25,adult female,Bird,Rocky Mountain Wood,62.5,101.1666667
16468,1.02,0.204,nymph,Dog,Groundhog,63.2,101.2444444
16469,1.02,0.204,adult male,Dog,Groundhog,61.6,101.0666667
16470,1.2,0.24,nymph,Bird,Groundhog,63.3,101.2555556
16471,1,0.2,adult female,Racoon,Groundhog,61.7,101.0777778
16472,1.2,0.24,adult female,Cat,Brown Dog,61.5,101.0555556
16473,1.34,0.268,adult male,Bird,Western Blacklegged,62.2,101.1333333
16474,1.02,0.204,nymph,Dog,Groundhog,63.3,101.2555556
16475,1.06,0.212,adult male,Bird,Groundhog,60.9,100.9888889
16476,1.28,0.256,adult male,Cat,Gulf Coast,61.1,101.0111111
16477,1.34,0.268,adult male,Bird,Western Blacklegged,61.7,101.0777778
16478,1.2,0.24,adult female,Fox,Groundhog,62.6,101.1777778
16479,1.08,0.216,adult female,Bird,Groundhog,61.3,101.0333333
16480,1.2,0.24,adult male,Bird,Rocky Mountain Wood,62.3,101.1444444
16481,1.1,0.22,adult female,Fox,Gulf Coast,62.3,101.1444444
16482,1.05,0.21,adult female,Bird,Groundhog,61.8,101.0888889
16483,1.05,0.21,nymph,Dog,Groundhog,63.5,101.2777778
16484,1.01,0.202,adult male,Racoon,Groundhog,61.6,101.0666667
16485,1.01,0.202,adult female,Bird,Groundhog,62.1,101.1222222
16486,1.07,0.214,adult female,Squirrel,Rocky Mountain Wood,60.7,100.9666667
16487,1.29,0.258,adult male,Fox,Rocky Mountain Wood,61.6,101.0666667
16488,1.29,0.258,adult male,Fox,Rocky Mountain Wood,62.9,101.2111111
16489,1.2,0.24,adult female,Fox,Rocky Mountain Wood,61.9,101.1
16490,1.2,0.24,adult male,Fox,Rocky Mountain Wood,59.5,100.8333333
16491,1.29,0.258,adult female,Fox,Rocky Mountain Wood,61.6,101.0666667
16492,1.04,0.208,adult female,Bird,Groundhog,62.5,101.1666667
16493,1.04,0.208,adult male,Bird,Groundhog,60.1,100.9
16494,1.11,0.222,adult male,Racoon,Groundhog,63,101.2222222
16495,1.02,0.204,adult female,Bird,Groundhog,62.6,101.1777778
16496,1.09,0.218,adult male,Bird,Groundhog,59.7,100.8555556
16497,2.01,0.402,nymph,Fox,Lone Star,58.1,100.6777778
16498,1.11,0.222,nymph,Bird,Groundhog,62.2,101.1333333
16499,1.11,0.222,nymph,Bird,Groundhog,60.8,100.9777778
16500,1.28,0.256,adult male,Fox,Rocky Mountain Wood,62,101.1111111
16501,1.06,0.212,nymph,Bird,Gulf Coast,63.4,101.2666667
16502,1.51,0.302,eggs,Squirrel,Western Blacklegged,66.2,101.5777778
16503,1.36,0.272,nymph,Racoon,Rocky Mountain Wood,62.8,101.2
16504,1.02,0.204,nymph,Squirrel,Groundhog,62.3,101.1444444
16505,2.1,0.42,eggs,Bird,Lone Star,67.4,101.7111111
16506,2.1,0.42,eggs,Bird,Lone Star,64.6,101.4
16507,1.26,0.252,adult female,Fox,Western Blacklegged,61.8,101.0888889
16508,1.26,0.252,adult female,Cat,Rocky Mountain Wood,62.6,101.1777778
16509,1.02,0.204,nymph,Racoon,Groundhog,63.3,101.2555556
16510,1.02,0.204,adult female,Racoon,Groundhog,62.7,101.1888889
16511,1.53,0.306,nymph,Fox,Western Blacklegged,60.6,100.9555556
16512,1.02,0.204,adult male,Racoon,Groundhog,61.3,101.0333333
16513,1.01,0.202,nymph,Racoon,Groundhog,60,100.8888889
16514,1,0.2,adult female,Dog,Groundhog,61.6,101.0666667
